year,geo_name,geo,violent_crime
2016,"Alameda County, CA","05000US06001",723.49
2017,"Alameda County, CA","05000US06001",720.31
2015,"Alameda County, CA","05000US06001",723.49
2017,"Alpine County","05000US06003",529.57
2016,"Alpine County","05000US06003",719.22
2015,"Alpine County","05000US06003",719.22
2015,"Amador County","05000US06005",294.08
2017,"Amador County","05000US06005",278.86
2016,"Amador County","05000US06005",294.08
2015,"Butte County, CA","05000US06007",304.11
2017,"Butte County, CA","05000US06007",298.56
2016,"Butte County, CA","05000US06007",304.11
2016,"Calaveras County","05000US06009",228.93
2017,"Calaveras County","05000US06009",255.66
2015,"Calaveras County","05000US06009",228.93
2017,"Colusa County","05000US06011",199.6
2016,"Colusa County","05000US06011",215.92
2015,"Colusa County","05000US06011",215.92
2016,"Contra Costa County, CA","05000US06013",396.6
2015,"Contra Costa County, CA","05000US06013",396.6
2017,"Contra Costa County, CA","05000US06013",366.02
2015,"Del Norte County","05000US06015",492.59
2016,"Del Norte County","05000US06015",492.59
2017,"Del Norte County","05000US06015",582.28
2015,"El Dorado County, CA","05000US06017",241.19
2017,"El Dorado County, CA","05000US06017",227.61
2016,"El Dorado County, CA","05000US06017",241.19
2015,"Fresno County, CA","05000US06019",543.05
2016,"Fresno County, CA","05000US06019",543.05
2017,"Fresno County, CA","05000US06019",507.12
2016,"Glenn County","05000US06021",254.23
2017,"Glenn County","05000US06021",419.24
2015,"Glenn County","05000US06021",254.23
2015,"Humboldt County, CA","05000US06023",333.79
2016,"Humboldt County, CA","05000US06023",333.79
2017,"Humboldt County, CA","05000US06023",331.97
2016,"Imperial County, CA","05000US06025",303.98
2015,"Imperial County, CA","05000US06025",303.98
2017,"Imperial County, CA","05000US06025",311.04
2017,"Inyo County","05000US06027",473.88
2015,"Inyo County","05000US06027",393.14
2016,"Inyo County","05000US06027",393.14
2016,"Kern County, CA","05000US06029",561.14
2015,"Kern County, CA","05000US06029",561.14
2017,"Kern County, CA","05000US06029",554.99
2015,"Kings County, CA","05000US06031",397.88
2017,"Kings County, CA","05000US06031",477.85
2016,"Kings County, CA","05000US06031",397.88
2017,"Lake County","05000US06033",539.11
2016,"Lake County","05000US06033",512.28
2015,"Lake County","05000US06033",512.28
2016,"Lassen County","05000US06035",353.33
2015,"Lassen County","05000US06035",353.33
2017,"Lassen County","05000US06035",400.82
2016,"Los Angeles County, CA","05000US06037",473.9
2017,"Los Angeles County, CA","05000US06037",423.79
2015,"Los Angeles County, CA","05000US06037",473.9
2016,"Madera County, CA","05000US06039",521.35
2015,"Madera County, CA","05000US06039",521.35
2017,"Madera County, CA","05000US06039",616.29
2016,"Marin County, CA","05000US06041",202.7
2017,"Marin County, CA","05000US06041",184.91
2015,"Marin County, CA","05000US06041",202.7
2016,"Mariposa County","05000US06043",295.95
2015,"Mariposa County","05000US06043",295.95
2017,"Mariposa County","05000US06043",419.26
2015,"Mendocino County","05000US06045",501.36
2016,"Mendocino County","05000US06045",501.36
2017,"Mendocino County","05000US06045",509.63
2017,"Merced County, CA","05000US06047",614.38
2015,"Merced County, CA","05000US06047",603.68
2016,"Merced County, CA","05000US06047",603.68
2015,"Modoc County","05000US06049",440.0
2017,"Modoc County","05000US06049",670.64
2016,"Modoc County","05000US06049",440.0
2015,"Mono County","05000US06051",353.38
2017,"Mono County","05000US06051",253.82
2016,"Mono County","05000US06051",353.38
2016,"Monterey County, CA","05000US06053",464.31
2015,"Monterey County, CA","05000US06053",464.31
2017,"Monterey County, CA","05000US06053",425.45
2015,"Napa County, CA","05000US06055",383.63
2016,"Napa County, CA","05000US06055",383.63
2017,"Napa County, CA","05000US06055",340.8
2016,"Nevada County, CA","05000US06057",275.64
2015,"Nevada County, CA","05000US06057",275.64
2017,"Nevada County, CA","05000US06057",332.0
2016,"Orange County, CA","05000US06059",221.06
2017,"Orange County, CA","05000US06059",203.95
2015,"Orange County, CA","05000US06059",221.06
2017,"Placer County, CA","05000US06061",175.94
2015,"Placer County, CA","05000US06061",203.41
2016,"Placer County, CA","05000US06061",203.41
2017,"Plumas County","05000US06063",502.56
2016,"Plumas County","05000US06063",533.25
2015,"Plumas County","05000US06063",533.25
2015,"Riverside County, CA","05000US06065",305.53
2017,"Riverside County, CA","05000US06065",282.59
2016,"Riverside County, CA","05000US06065",305.53
2016,"Sacramento County, CA","05000US06067",558.64
2017,"Sacramento County, CA","05000US06067",523.17
2015,"Sacramento County, CA","05000US06067",558.64
2017,"San Benito County","05000US06069",381.57
2015,"San Benito County","05000US06069",373.11
2016,"San Benito County","05000US06069",373.11
2017,"San Bernardino County, CA","05000US06071",409.07
2016,"San Bernardino County, CA","05000US06071",430.5
2015,"San Bernardino County, CA","05000US06071",430.5
2017,"San Diego County, CA","05000US06073",348.8
2016,"San Diego County, CA","05000US06073",367.03
2015,"San Diego County, CA","05000US06073",367.03
2017,"San Francisco County, CA","05000US06075",792.97
2015,"San Francisco County, CA","05000US06075",702.66
2016,"San Francisco County, CA","05000US06075",702.66
2015,"San Joaquin County, CA","05000US06077",839.22
2017,"San Joaquin County, CA","05000US06077",780.38
2016,"San Joaquin County, CA","05000US06077",839.22
2016,"San Luis Obispo County, CA","05000US06079",281.91
2017,"San Luis Obispo County, CA","05000US06079",379.33
2015,"San Luis Obispo County, CA","05000US06079",281.91
2017,"San Mateo County, CA","05000US06081",227.56
2016,"San Mateo County, CA","05000US06081",235.49
2015,"San Mateo County, CA","05000US06081",235.49
2015,"Santa Barbara County, CA","05000US06083",400.51
2016,"Santa Barbara County, CA","05000US06083",400.51
2017,"Santa Barbara County, CA","05000US06083",333.3
2017,"Santa Clara County, CA","05000US06085",253.9
2016,"Santa Clara County, CA","05000US06085",262.14
2015,"Santa Clara County, CA","05000US06085",262.14
2016,"Santa Cruz County, CA","05000US06087",443.37
2015,"Santa Cruz County, CA","05000US06087",443.37
2017,"Santa Cruz County, CA","05000US06087",394.06
2015,"Shasta County, CA","05000US06089",756.97
2016,"Shasta County, CA","05000US06089",756.97
2017,"Shasta County, CA","05000US06089",690.62
2016,"Sierra County","05000US06091",424.43
2017,"Sierra County","05000US06091",380.06
2015,"Sierra County","05000US06091",424.43
2017,"Siskiyou County","05000US06093",269.19
2015,"Siskiyou County","05000US06093",293.53
2016,"Siskiyou County","05000US06093",293.53
2016,"Solano County, CA","05000US06095",445.65
2017,"Solano County, CA","05000US06095",467.66
2015,"Solano County, CA","05000US06095",445.65
2015,"Sonoma County, CA","05000US06097",366.28
2017,"Sonoma County, CA","05000US06097",362.59
2016,"Sonoma County, CA","05000US06097",366.28
2017,"Stanislaus County, CA","05000US06099",533.08
2016,"Stanislaus County, CA","05000US06099",515.37
2015,"Stanislaus County, CA","05000US06099",515.37
2016,"Sutter County","05000US06101",356.16
2015,"Sutter County","05000US06101",356.16
2017,"Sutter County","05000US06101",305.91
2017,"Tehama County","05000US06103",537.58
2016,"Tehama County","05000US06103",558.21
2015,"Tehama County","05000US06103",558.21
2016,"Trinity County","05000US06105",214.02
2017,"Trinity County","05000US06105",208.55
2015,"Trinity County","05000US06105",214.02
2017,"Tulare County, CA","05000US06107",445.78
2016,"Tulare County, CA","05000US06107",452.73
2015,"Tulare County, CA","05000US06107",452.73
2016,"Tuolumne County","05000US06109",198.99
2015,"Tuolumne County","05000US06109",198.99
2017,"Tuolumne County","05000US06109",220.22
2015,"Ventura County, CA","05000US06111",205.02
2016,"Ventura County, CA","05000US06111",205.02
2017,"Ventura County, CA","05000US06111",205.02
2017,"Yolo County, CA","05000US06113",317.4
2016,"Yolo County, CA","05000US06113",269.25
2015,"Yolo County, CA","05000US06113",269.25
2015,"Yuba County","05000US06115",401.08
2016,"Yuba County","05000US06115",401.08
2017,"Yuba County","05000US06115",386.93
